index,title,author,url,cuisine,image_url,ingredients,instructions,language,ratings,reviews,site_name,total_time,yields,calories,carbohydrateContent,proteinContent,fatContent,saturatedFatContent,cholesterolContent,sodiumContent,sugarContent,servingSize,fiberContent
95,Instant Pot Kuromame,Namiko Chen,https://www.justonecookbook.com/instant-pot-kuromame/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/12/Instant-Pot-Kuromame-I.jpg,"['8.81 oz kuromame (black soybeans)', '4 cups water', 'edible gold leaf flakes ((optional for decoration))', '1 cup sugar', '2 ½ tsp soy sauce', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients. Please read and follow the black soybean package instructions. Some packages may say ""soak overnight"". My package directions say to soak 4-5 hours, so I soaked for 4 hours. For testing, I tried soaking the same brand of soybeans overnight, and the beans came out a bit too soft. So you may need to test to see how long you want to soak your beans.
To Prepare the Black Soybeans
Gently rinse the black soybeans (kuromame) under cold water a few times. The skin is very fragile, so try not to damage. Discard any beans that are damaged. Drain well.
Put the beans in the inner pot of Instant Pot. Add 4 cups of water to the pot and let them soak for 4 hours (or overnight, depending on your package instruction).
To make the black soybeans even darker, we cook the black soybeans with rusty iron nails in Japan (Read more in the blog post). If you use rusty iron nails, clean 2-3 nails, wrap in a cheesecloth and add in the pot. Optionally, you can purchase purchase “Lucky Iron Fish"" on Amazon and place it in the water.
To Cook the Black Soybeans in Instant Pot
After 4 hours of soaking, put the inner pot back to the Instant Pot (keep the iron fish in the pot). Add 1 cup sugar, 2 ½ tsp soy sauce, and ½ tsp kosher salt. Mix well.
Close the lid and set HIGH pressure for 15 minutes (It will take 10 minutes to pressurize). Make sure the steam release handle points at “sealing” and not “venting”. The float valve goes up when pressurized.
Once Pressure Cooking Is Done...
When it’s finished cooking, the Instant Pot will switch automatically to the “Keep Warm” mode. Let the pressure release naturally, about 45 minutes. Open the lid and take out the inner pot and remove the iron fish.
Pour the beans and sauce into a large airtight container. Let the beans cool uncovered.
To Store
Kuromame are ready to eat, but to yield a more striking black color, let the beans soak in the sauce for at least a day. Cover and refrigerate. You can keep for up to a week in the refrigerator, or 1 month in the freezer.
To Serve
Drain the liquid and serve the kuromame. If you like to make it more festive, you can put gold leaf on top.
The Leftover Liquid and Beans
Some use the leftover liquid to make Black Soybean Latte, some use the beans to make a pound cake and steamed cake, etc. I personally don't have leftovers as we all finish on during the New Year.",en-US,4.38,,Just One Cookbook,320,6 serving(s),295 kcal,33 g,15 g,8 g,,,233 mg,36 g,1 serving,10 g
96,Kinpira Gobo (Braised Carrot & Burdock Root),Namiko Chen,https://www.justonecookbook.com/kinpira-gobo-braised-carrot-burdock-root/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/01/Kinpira-Gobo-e1325741399397.jpg,"['1 gobo (burdock root)', '⅓ carrot', '1 Tbsp neutral-flavored oil (vegetable, canola, etc)', '2 tsp sesame oil (roasted)', '1 Tbsp toasted white sesame seeds', 'Ichimi Togarashi (Japanese chili pepper) ((optional))', '¾ cup dashi (Japanese soup stock; click to learn more) ((use kombu dashi for vegetarian))', '2 Tbsp sake', '1 Tbsp sugar', '1 Tbsp mirin', '1½ Tbsp soy sauce', 'Korean Chili Thread ((optional))']","Gather all the ingredients.
Peel gobo’s skin with peeler or traditionally we scrape (peel) the skin off with the back of kitchen knife. Then diagonally slice thinly so that each piece is about 2 inch length. Then collect some of the slices and cut into thin matchbox strips. Soak the gobo in water or vinegar water (just one drop of vinegar would do). Change water a couple of times until the water becomes clean. Then leave the gobo in water until you are ready to stir fry.
Cut carrots into matchbox strips.
In a frying pan, heat the oil over medium high heat and stir fry gobo first. Then add carrot next after you cook gobo for a few minutes.
Add the ingredients for the seasonings and cook until most of liquid evaporates.
When the liquid is almost gone, add sesame oil and sprinkle sesame seeds and ichimitogarashi.",en-US,4.56,,Just One Cookbook,30,4 serving(s),,,,,,,,,,
97,Spinach with Sesame Miso Sauce,Namiko Chen,https://www.justonecookbook.com/spinach-with-sesame-miso-sauce/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/05/Spinach-with-Sesame-Miso-Sauce-I.jpg,"['¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '6 oz spinach', '1 Tbsp mirin', '2 Tbsp toasted white sesame seeds', '2 tsp miso ((I used Hikari Miso® Organic Koji Miso))', '1 tsp sugar', '½ tsp soy sauce']","Gather all the ingredients. Bring a big pot of water to a boil. [Optional] If your sesame seeds are not toasted/roasted yet, or if you want more toasty taste/fragrance, put sesame seeds in a frying pan and toast them on low heat. When 2-3 sesame seeds start to pop from the pan, remove from the heat.
While waiting for the water to boil, add 1 Tbsp mirin in a small saucepan. Cook it over medium heat until the alcohol is evaporated, roughly 30 seconds. Set aside.
In a suribachi (mortar), add 2 Tbsp sesame seeds and grind with a surikogi (pestle) until sesame seeds are almost ground. It’s nice to leave some texture.
Add 2 tsp miso, 1 tsp sugar, alcohol-free mirin, and ½ tsp soy sauce and mix well together.
Once water is boiling, add the salt. Hold the spinach leaves so you can start blanching from the stem (which takes longer to cook). Cook for 15 seconds. Let go the leafy part and cook for 30 seconds.
Remove spinach from the water and soak in iced water to stop the cooking. Alternatively, drain and run the spinach under cold running water until cool.
Collect the spinach and squeeze water out.
Cut the spinach into 2” (5cm) lengths and add to the bowl.
Mix the spinach and sauce together. Serve at room temperature or chilled.
To Store
You can put it in an airtight container and store it in the refrigerator for 2-3 days or in the freezer for 2-4 weeks.",en-US,4.92,,Just One Cookbook,15,4 serving(s),,,,,,,,,,
98,Okura Ohitashi (Japanese Okra Salad),Namiko Chen,https://www.justonecookbook.com/okra-ohitashi/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Okra-Ohitashi-3-I.jpg,"['10 okras ((100 g, 3.5 oz))', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 cup dashi (Japanese soup stock; click to learn more)', '2 Tbsp usukuchi (light-color) soy sauce', '2 Tbsp mirin', 'katsuobushi (dried bonito flakes) ((omit for vegetarian/vegan))']","Gather all the ingredients.
Cut off the tail end of okras. Peel off the hard part around okra end shown in the picture below.
They should look like this. Tip: If you cut the end completely, water gets inside.
Bring enough water to a boil. Sprinkle kosher salt over okras and rub gently on the cutting board. Tip: This brings out the bright color of any green vegetables (such as cucumbers) and removes the bitter taste.
Once the water has come to a boil, put in the okras (without removing the salt) in the boiling water and blanch for 1-2 minutes.
Drain and let cool the okras in iced water. As soon as they are cool, remove from the water and squeeze gently to remove excess water. Set aside.
In a small saucepan, add mirin and let the alcohol evaporate for 1-2 minutes.
When there is no more alcohol smell, add dashi and soy sauce. Once it boils, turn off the heat and set aside.
Transfer the okras to a shallow glass baking dish. Pour the marinade into the dish while the marinade is still warm. Let steep at room temperature for at least 1-2 hours before serving.
To Serve
Plate okras on a serving dish, drizzle some marinade over the okras, and sprinkle katsuobushi. You can serve it at room temperature or chilled. Enjoy it within 2 days.",en-US,4.55,,Just One Cookbook,75,3 serving(s),,,,,,,,,,
99,Dinner Rolls,Namiko Chen,https://www.justonecookbook.com/dinner-rolls/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2011/01/Dinner-Rolls-w600.jpg,"['300 g bread flour', '5 g instant yeast', '5 g sugar', '5 g kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '190-195 ml water ((warm))', '2 tsp extra-virgin olive oil']","In bread making machine, add half of bread flour and dry yeast.
Add in sugar, salt, and warm water. Mix well until smooth.
Add in olive oil and mix.
Add the rest of bread flour and turn on bread making machine. Select “Dough” option (it will finish until the 1st proof) and press start.
After it’s done, take out the dough and divide it into 8-12 equal portions.
Fold each dough from all sides to make a ball and pinch at the bottom to close the seam. Put each roll on a baking sheet and cover the rolls with plastic wrap or moist towel. Rest for 10 minutes.
On a working surface, press each roll with palm and release gas. Roll each roll into a ball shape again, folding the dough from all sides and pinching it on the bottom. Sprinkle bread flour over the rolls.
Preheat oven to 90F. Put a baking pan with warm water in it inside the oven in order to keep the bread moist.
Place parchment paper on top of a peel, and put the rolls keeping some distance between. Gently transfer the rolls into the oven (with parchment paper) and bake for 40 minutes, or until nearly doubled. This is 2nd proof.
Take out the bread (you can pull the parchment paper onto a peeler) and preheat oven to 410F. Spray water on top of rolls.
Bake for 12 minutes or until golden brown.",en-US,5.0,,Just One Cookbook,0,10 serving(s),,,,,,,,,,
100,Spinach Ohitashi (Japanese Spinach Salad with Savory Broth),Namiko Chen,https://www.justonecookbook.com/spinach-ohitashi-japanese-spinach-salad-with-bonito-flakes/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/09/Spinach-Ohitashi-5650-I-1.jpg,"['1 bunch spinach ((8 oz, 227 g))', 'Pinch kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '½ cup water', '1 kombu (dried kelp) ((5 g; 2""x 2"" or 5 cm x 5 cm))', '1 Tbsp mirin', '1 Tbsp usukuchi (light-color) soy sauce', 'katsuobushi (dried bonito flakes) ((only for non-vegan/vegetarian))', 'toasted white sesame seeds']","Gather all the ingredients.
To Make Kombu Dashi
In a saucepan, put water and kombu.
Slowly bring it to a boil. Once boiling, remove the kombu from the liquid (You can make Kombu Tsukudani with the used kombu). If you are not vegan/vegetarian, you can add a small amount of katsuobushi to make Awase Dashi for more flavors. Please see the instruction here. If you're using dashi powder, please read here.
To Make Savory Broth
In Kombu Dashi, add mirin and usukuchi soy sauce.
Mix together and once it boils, turn off the heat.
To Prepare Spinach
Rinse the spinach and boil a large pot of water.
When the water is boiling, add the salt and put the spinach in the pot from the stem side first because it takes longer to cook. After 15 seconds, you can push down the leafy part into the water and cook for 1 minute. (US spinach is tender than Japanese spinach, so it’ll cook faster).
Once the spinach is cooked through, pick it up quickly, roughly less than 1 minute.
Transfer to iced water and let it cool (but don’t leave the spinach too long as you will lose the nutrients).
As soon as it’s cooled, collect spinach and squeeze water out. If you like to serve as I do, collect the stem and put together. I like to serve both stem and leafy parts separately instead of mixing it up together.
Cut the spinach into 1 ½ inch lengths and squeeze the water out one more time.
Put the spinach in the airtight container and pour the sauce over.
Make sure the spinach is evenly distributed in the container and soak in the sauce. Put the lid on and let it soak in the refrigerator for at least 1 hour (3-4 hours ideally).
To Serve
Serve the spinach in a bowl and pour the sauce over. I like to make sure each bowl gets both spinach stem and leafy part. Love the dark and light color contrast to each other.
Sprinkle sesame seeds for vegan/vegetarian version, and bonito flakes for non-vegan/vegetarian version.
To Store
You can keep in the refrigerator for up to 3 days.",en-US,4.81,,Just One Cookbook,80,4 serving(s),,,,,,,,,,
101,Grilled Corn with Honey Miso Butter,Namiko Chen,https://www.justonecookbook.com/grilled-corn-with-miso-butter/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/07/Grilled-Corn-with-Miso-Butter-9239-I.jpg,"['4 ears frozen or canned corn', '1 green onion/scallion ((chopped))', '4 Tbsp unsalted butter ((at room temperature))', '1 Tbsp Organic Miso Saikyo Sweet', '1 Tbsp honey', '2 tsp soy sauce', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Strip the husks away from the top of the corn to the base, like peeling a banana. Leave the husk attached at the stem end (or you can completely discard it). Remove the corn silk (It’s easier to husk corn under running water) and fold the husk back over the stalk. Tie the husk with string or a strip of husk to form a handle.
Mix all ingredients for honey miso butter in a bowl and set aside.
Heat an outdoor grill to high. Spray the grates with cooking spray or soak a paper towel in olive oil and rub over grates several times until coated.
Place the corn on the grill and put a sheet of aluminum foil under the husk to keep the husks from burning.
Brush the corn with the honey miso butter as it grills. The ears are cooked when golden brown, about 10-15 minutes.
Garnish with chopped scallions and serve with extra honey miso butter as option.
Oven Method
Arrange a rack in the middle of the oven and heat the oven to 375 °F. Remove the husk and silk from the corn. Brush the sauce on the corn and wrap each ear of corn in a 6-inch piece of aluminum foil. Roast for 30 minutes. These corn cobs will essentially steam inside the foil. Set the foil-wrapped corn aside until cool enough to handle, about 5 minutes, before serving.",en-US,4.86,,Just One Cookbook,25,4 serving(s),,,,,,,,,,
102,Onsen Tamago,Namiko Chen,https://www.justonecookbook.com/onsen-tamago/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/05/Onsen-Tamago-2952-I.jpg,"['4 ¼ cups water ((measure 4 ¼ cups and remove 4 tsp to be precise))', '¾ cup tap water ((¾ cup + 4 tsp to be precise; needs to be colder than room temp))', '4 large eggs (50 g each w/o shell) ((refrigerated))', '¼ cup dashi (Japanese soup stock; click to learn more)', '½ Tbsp mirin', '1 ½ Tbsp soy sauce', '⅓ cup katsuobushi (dried bonito flakes) ((skip for vegetarian))', 'green onion/scallion ((for garnish))']","Gather all the ingredients. You will need a small heavy-bottomed saucepan (I use 1.5 QT); the water should cover the eggs with 1000 ml water completely.
Add 1000 ml water in the saucepan, cover with a tight-fitting lid, and bring it to a boil.
Once boiling, remove the pot from the heat. Take the eggs out from the refrigerator. Add 200 ml cold tap water and gently submerge the cold eggs in the hot water. Immediately cover and set the timer for 17 minutes.
If you like to enjoy onsen tamgo with the sauce, combine the dashi, mirin, and soy sauce in a small saucepan and bring it to a boil. Add katsuobushi and turn off the heat, let katsuobushi sink at the bottom of the pan. After 30 seconds or so, strain through the strainer and set the sauce aside. You can keep the sauce in the refrigerator for 4-5 days.
Cut scallion into thinly slices and set aside.
Once 17 minutes have passed, take the eggs out gently and set aside for 5 minutes.
You can enjoy onsen tamago either cold or warm. Crack the egg and pour the sauce over, garnish with chopped scallion.
To Store
You can keep the uncracked onsen tamago for 1-2 days in the refrigerator. To reheat, take out the onsen tamago from the fridge to room temperature. Place it in 160ºF(70ºC) water for 10 minutes to warm up. Do not reheat higher than that otherwise the egg will be cooked.",en-US,4.71,,Just One Cookbook,30,4 serving(s),,,,,,,,,,
103,Japanese Turnips with Soboro Ankake Sauce,Namiko Chen,https://www.justonecookbook.com/japanese-turnips-with-soboro-ankake-sauce/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/11/Japanese-Turnips-with-Soboro-Ankake-Sauce-5110-I.jpg,"['8 Japanese Turnips (kabu) ((Try to find same-size turnips so the cooking time will be the same))', '6 oz ground chicken', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '2 cups dashi (Japanese soup stock; click to learn more)', '1 Tbsp sugar', '¼ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '2 Tbsp sake', '1 ½ Tbsp soy sauce', '1 Tbsp sugar', '1 Tbsp potato starch/cornstarch', '2 Tbsp water']","Gather all the ingredients.
To Prepare Turnips
Cut off the leafy green tops from the turnips. For presentation, I left just ½ inch (1.3 cm) of the stalks attached to the turnips. Use the leafy tops for making a side dish or adding in miso soup.
Rinse the turnips well, especially the stalks.
Cut off the bottom of the turnips so they will stand upright. Then remove the turnip’s skin, peeling from the bottom to the top.
The turnips should look like this.
To Cook Turnips
In a medium saucepan, add dashi and bring it to boil over medium heat.
Add the turnips, cover with the lid and bring it to a boil again. Simmer on medium-low heat for 5 minutes and add sugar.
Add a little ¼ tsp salt and cover with lid. Continue to simmer on medium-low heat until tender, about 20 minutes.
To Make Soboro
In the meantime, add sake, sugar, and soy sauce in a large frying pan. Combine the sauce well.
Add the ground chicken and start cooking on medium heat.
Using a pair of long cooking chopsticks or wooden spatula, break the ground chicken into small pieces. Once the chicken is no longer pink and the sauce has reduced, turn off the heat and set aside.
To Assemble
When the wooden skewer goes into the turnip smoothly, turnips are tender and ready.
Add the seasoned ground chicken into the broth.
Mix well and taste the broth. Adjust the taste with salt if necessary.
To make a slurry, in a small bowl, add potato starch/cornstarch and water and whisk well to combine.
Reduce the heat of the broth and gradually add the slurry to the broth and mix well to combine. If the sauce is too thick, add more water. If too watery, let the liquid evaporate a bit more (or you can make more slurry and add to the broth).
Serve the turnips, broth, and ground chicken on a plate/bowl.",en-US,5.0,,Just One Cookbook,60,4 serving(s),,,,,,,,,,
104,Creamy Mashed Potatoes with Shio Koji,Namiko Chen,https://www.justonecookbook.com/mashed-potatoes-with-shio-koji/,American,https://www.justonecookbook.com/wp-content/uploads/2020/11/Mashed-Potatoes-with-Shio-Koji-1081-I.jpg,"['1 ½ lb Russet and Yukon Gold potatoes ((2 large potatoes should be about 1 ½ lb))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((for boiling potatoes; use it when you do not use Shio Koji))', '2 Tbsp unsalted butter', '¼ cup heavy (whipping) cream', '2 Tbsp shio koji ((you can replace it with ½ tsp kosher/sea salt))', 'freshly ground black pepper', '1 Tbsp unsalted butter', 'a few stalks chives', 'freshly ground black pepper']","Gather all the ingredients.
Peel potatoes and remove the eyes.
Cut each potato in half lengthwise and then cut into rough chunks, about 2 inches cubes.
Transfer to a pot of cold water to soak for 2-3 minutes.
Drain water and rinse the potatoes under cold running water. Use a lid of the pot when draining, so the potatoes don’t fall off.
Add cold water about 1 inch above the potatoes. If you are not using Shio Koji, sprinkle a bit of salt into the water to season the potatoes. Put the lid on, leaving a small gap, and bring to a boil over medium-high (it’ll take about 10-15 minutes to boil).
Once boiling, reduce heat to medium (or even lower heat to maintain the boil). Cook the potatoes until tender, about 15 minutes (I usually cover the lid, slightly ajar, so water won't evaporate too fast.
Meanwhile, in a saucepan, heat the butter, heavy cream, and shio koji over medium-low heat. Turn off the heat and set aside to keep warm (you may need to reheat before adding to the potatoes).
When a skewer goes through the potato easily, turn off the heat. Drain the water completely.
Rinse under hot running water and drain. Repeat 1-2 times to wash away excess starch. Drain really well.
Put the pot back on the stove and let them dry for a few minutes on low heat. With a stainless steel potato masher, mash the potatoes until you have a creamy and even mash.
Pour the warm butter mixture over the mash and fold gently with a silicone spatula to combine.
Season to taste with freshly ground black pepper and salt (if you are not using Shio Koji). Transfer to a serving bowl.
Using a spoon to create grooves and top with a slice of butter, chives, and more freshly ground black pepper. Enjoy!
To Store
Mashed potatoes keep for 3 days in the refrigerator. You can also freeze them for a month in an airtight container or freezer bag.",en-US,4.67,,Just One Cookbook,50,4 serving(s),,,,,,,,,,
105,Baby Sardine Tsukudani,Namiko Chen,https://www.justonecookbook.com/baby-sardine-tsukudani/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2019/07/Baby-Sardine-Tsukudani-4194-I-1.jpg,"['2.8 oz chirimen jako (dried baby sardine) ((80 g))', '½ Tbsp toasted white sesame seeds ((optional))', '3 Tbsp soy sauce', '2 Tbsp mirin', '2 Tbsp sugar', '2 Tbsp sake']","Gather all the ingredients.
Quickly rinse the dried baby sardines under running water. This helps to clean and to remove excess saltiness from the fish. Drain the baby sardines well and transfer them to the saucepan.
Add mirin, sake, sugar, and soy sauce in the saucepan.
Mix all the ingredients and turn the heat to medium heat.
Bring the sauce to boil. Once boiling, skim off the foam and reduce the heat to low.
Cover the baby sardines with an otoshibuta (drop lid) and simmer on low heat, stirring occasionally, for 15 minutes. Be careful not to burn.
Once the sauce has thickened and you can see the bottom of the pot, turn off the heat. Transfer the Tsukudani to a glass container. Optionally, add the sesame seeds and mix well.
To Store
You can keep the Tsukudani in the refrigerator for up to 3 weeks or the freezer for 2-3 months.",en-US,5.0,,Just One Cookbook,20,4 serving(s),,,,,,,,,,
106,Daikon and Cucumber Salad with Shio Koji,Namiko Chen,https://www.justonecookbook.com/daikon-and-cucumber-salad-with-shio-koji/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2014/01/Daikon-and-Cucumber-Salad-with-Shio-Koji.jpg,"['½ lb daikon radish ((peeled))', '2 Persian/Japanese cucumbers ((or use ½ English cucumber but seeds must be removed))', '¼ cup carrots ((julienned))', '2 Tbsp Hikari Miso Shio Koji ((or substitute with 2 tsp kosher/sea salt))', '½ Tbsp rice vinegar', '1 tsp sesame oil', '1 red chili ((chopped, if you prefer less spicy remove the seed))']","Cut daikon and cucumber diagonally while rotating them a quarter between cuts. This Japanese cutting technique is called “Rangiri.”
Put daikon, cucumber, carrot, and all the seasonings in a large closable plastic bag.
Remove the air from the bag and massage the vegetables and make sure they are blended well with the seasonings. Keep the bag in the refrigerator for 45-60 minutes for best flavor.
Serve this dish cold or at room temperature. Store in the refrigerator for up to 24 hours.",en-US,4.34,,Just One Cookbook,5,2 serving(s),,,,,,,,,,
107,Popovers with Strawberry Butter,Namiko Chen,https://www.justonecookbook.com/popovers-with-strawberry-butter/,American,https://www.justonecookbook.com/wp-content/uploads/2019/11/Popovers-with-Strawberry-Butter-I-1.jpg,"['3 ½ cups whole milk', '4 cups all-purpose flour (plain flour)', '1 ½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)', '1 tsp baking powder', '6 large eggs (50 g each w/o shell) ((at room temperature))', 'non-stick cooking spray', '½ cup unsalted butter ((8 Tbsp; at room temperature))', '¼ cup strawberry jam']","Gather all the ingredients. For this recipe, you will need 2 popover pans. If you use muffin pans instead, use every other tin so that the popovers have plenty of room to expand OR pour only halfway up with batter.
Place the milk in a bowl (or 4-cup measuring cup) and microwave on high for 2 minutes, or until warm to the touch.
Sift the flour, salt, and baking powder together into a large mixing bowl.
Add the eggs into the stand mixer fitted with a whisk. Beat on medium speed for about 3 minutes, until foamy and pale in color.
Turn down the mixer to low and add the warm milk.
Gradually add the flour mixture and beat on medium speed for about 2 minutes.
Turn the machine off and let the batter rest for 1 hour at room temperature.
When it’s almost 1 hour, preheat the oven to 425ºF (220ºC). For a convection oven, reduce cooking temperature by 25ºF (15ºC). Place each of the popover pans on a baking sheet and spray the pans with nonstick spray.
Fill the popover pans with the batter ¾ full.
Transfer to the oven and bake on 425ºF (220ºC) degree for 15 minutes. Then turn down the oven temperature to 375ºF (190ºC) degree and bake for 30 minutes, or until the popovers are a deep golden brown on the outside and airy on the inside.
To Make Strawberry Butter
While baking the popovers, make strawberry butter. Place the butter in the stand mixer and beat on high until light and fluffy. Add the preserves and beat until well combined. To save the strawberry butter, keep it in an airtight container and store in the refrigerator for 2-3 days.
To Serve
Serve popovers warm with strawberry butter.
To Store
You can keep the leftovers in an airtight container (or bag) and store in the refrigerator for 3 days or in the freezer for a month.",en-US,4.39,,Just One Cookbook,180,12 serving(s),,,,,,,,,,
108,Miso-Glazed Eggplant,Namiko Chen,https://www.justonecookbook.com/miso-glazed-eggplant/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2020/08/Miso-Glazed-Eggplant-0085-I.jpg,"['2 Tbsp M1nute Miso (liquid miso)', '1 Tbsp sugar', '1 tsp mirin ((optional))', '¼ tsp red chili pepper flakes', '3 Japanese eggplants ((2 Chinese eggplants))', '½ Tbsp toasted white sesame seeds', '1 green onion/scallion ((finely sliced))', '3 stalks cilantro (coriander) ((stems discarded and leaves chopped))', 'Cooking spray']","Gather all the ingredients.
To Prepare
Preheat broiler with the rack about 4 inches from the heat source.
Line the baking pan with parchment paper and spray it with non-stick cooking spray.
In a small bowl, combine miso, sugar, mirin, and red chili pepper flakes and mix well. Set aside.
Remove the ends of the eggplants. Slice them in half lengthwise from the stem to bottom creating boat-like halves. If you use Chinese eggplants, cut each boat-like half crosswise for a good size.
With the tip of a knife score the flesh, about ¼ inch deep 3-4 times across the eggplants.
Place the eggplants flesh side down and broil until the outer skin browns and softens, about 5 minutes. Turn the eggplants flesh side up and brush on the mixture from step 3.
To Cook
Broil the eggplant again until glaze starts to brown and sizzle, about 5 minutes.
To Serve
Sprinkle with sesame seeds, green onion, and cilantro. Serve immediately.",en-US,4.82,,Just One Cookbook,0,4 serving(s),,,,,,,,,,
109,Sansai Gohan (Rice with Mountain Vegetables),Namiko Chen,https://www.justonecookbook.com/sansai-gohan/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2018/04/Sansai-Gohan-w722.jpg,"['1 kombu (dried kelp) ((4"" x 5"", 10 x 13 cm))', '2 ½ cup water', '3 rice cooker cups uncooked Japanese short-grain rice', '1 piece aburaage (deep-fried tofu pouch)', '7-8 oz Sansai Mix (Sansai Mizuni)', '3 Tbsp soy sauce ((Preferably light-colored (usukuchi) soy sauce. Use GF soy sauce for gluten free))', '2 Tbsp sake', '2 ½ Tbsp mirin', '½ tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt)']","Gather all the ingredients.
To make kombu dashi - Add kombu in 2 ½ cup water. Let the kombu steep in water until ready to use.
Rinse rice and soak in water for 20 minutes. If you’re using short grain rice, ALWAYS soak the rice before you cook. Then drain excess water well, making sure there is NO MOISTURE left in the rice. We do not want to dilute the seasonings.
To remove the oil from aburaage, you can either pour boiling water over the tofu pouch in a sieve over the sink, or have a quick blanch over the boiling water in a small pot for 15 seconds (flipping 1-2 times).
Cut the aburaage thinly.
Drain the sansai mizuni in a sieve and quickly rinse with running water.
In a rice cooker bowl, add the rice and seasonings (3 Tbsp soy sauce (usukuchi or GF), 2 Tbsp sake, 2 ½ Tbsp mirin, and ½ tsp salt).
Then add in kombu dashi (remove kombu first) and mix well.
Add the sansai mix and aburaage on top. Place in the rice cooker and start cooking. If you have a “Mixed Rice” option, use it (See Notes below).
Once the rice is cooked, using a rice scooper, fluff the rice and combine well with ingredients. Serve in a rice bowl and enjoy!
To Store
You can keep the leftovers in an airtight container and store in the refrigerator for up to 3 days and in the freezer for a month.",en-US,5.0,,Just One Cookbook,80,4 serving(s),,,,,,,,,,
110,Pickled Cucumbers,Namiko Chen,https://www.justonecookbook.com/pickled-cucumbers/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2013/01/Pickled-Cucumbers.jpg,"['3 Persian/Japanese cucumbers ((250 g or 8.8 oz))', '1 tsp kosher/sea salt (I use Diamond Crystal; Use half for table salt) ((5 g; 2% of cucumber weight))', '½-1 tsp ginger']","Gather all the ingredients.
Rinse the cucumbers and cut both sides of the edge.
Rub the 2 piece of cucumbers against each other until you see the small bubbles. It is to remove the bitterness from the cucumber. Discard the two ends.
Slice the cucumbers.
Peel the ginger and cut into julienne strips.
Put the cucumber, salt, and ginger in the Ziploc bag.
Remove the air out and seal completely.
Place a heavy object on top of the cucumbers and refrigerate it for 1-2 hours. Here I sandwiched the Ziploc bag with two plates and then put the mortar on top. I recommend 3 hours at most otherwise it gets too salty. Check the level of saltiness according to your preference. Serve and enjoy. You can keep in the fridge for 2-3 days.",en-US,4.43,,Just One Cookbook,10,4 serving(s),,,,,,,,,,
111,Chikuwa Cucumber,Namiko Chen,https://www.justonecookbook.com/chikuwa-cucumber/,Japanese,https://www.justonecookbook.com/wp-content/uploads/2012/09/Chikuwa-Cucumber.jpg,"['1 Persian/Japanese cucumbers ((or English cucumber))', '1 Chikuwa (fish cake) ((1pkg has 5 pieces in it))']","Cut the cucumber to same length as chikuwa.
Peel some skin off the cucumber (looks nicer and less bitter).
Cut the cucumber into 8 equal pieces lengthwise. Then remove the seeds area so that each cucumber piece will fit inside of chikuwa. Stuff cucumber inside chikuwa.
Cut each chikuwa cucumber in half, then cut each piece diagonally.",en-US,5.0,,Just One Cookbook,5,1 serving(s),,,,,,,,,,
